,Names,Path,Files,Eligible,extra
0,Adamant Creeper,E:\\D disk\Ayush\Adamant Creeper,1504,True,4
1,Alovera,E:\\D disk\Ayush\Alovera,1513,True,13
2,Betel,E:\\D disk\Ayush\Betel,1500,True,0
3,Black-Honey Shrub,E:\\D disk\Ayush\Black-Honey Shrub,1517,True,17
4,Caster,E:\\D disk\Ayush\Caster,1500,True,0
6,Cinnamon,E:\\D disk\Ayush\Cinnamon,1500,True,0
8,ginger,E:\\D disk\Ayush\ginger,1501,True,1
9,Henna,E:\\D disk\Ayush\Henna,1500,True,0
10,Hibiscus,E:\\D disk\Ayush\Hibiscus,1562,True,62
11,Holy Basil,E:\\D disk\Ayush\Holy Basil,1670,True,170
12,Indian acalypha,E:\\D disk\Ayush\Indian acalypha,1500,True,0
13,indian Mallow,E:\\D disk\Ayush\indian Mallow,1500,True,0
14,ivy gourd,E:\\D disk\Ayush\ivy gourd,1500,True,0
15,Landrina,E:\\D disk\Ayush\Landrina,1500,True,0
16,Lemon grass,E:\\D disk\Ayush\Lemon grass,1530,True,30
17,lime,E:\\D disk\Ayush\lime,1552,True,52
18,long Pepper,E:\\D disk\Ayush\long Pepper,1509,True,9
19,Miracle Leaf,E:\\D disk\Ayush\Miracle Leaf,1500,True,0
20,Mountain Knotgrass,E:\\D disk\Ayush\Mountain Knotgrass,1519,True,19
21,Neem,E:\\D disk\Ayush\Neem,1586,True,86
22,Oregano,E:\\D disk\Ayush\Oregano,1501,True,1
23,Pedalium murex,E:\\D disk\Ayush\Pedalium murex,1500,True,0
24,Red Pea Eggplant,E:\\D disk\Ayush\Red Pea Eggplant,1535,True,35
25,Ringworm Plant,E:\\D disk\Ayush\Ringworm Plant,1601,True,101
26,Seeds under leaves,E:\\D disk\Ayush\Seeds under leaves,1501,True,1
28,tall perennial grass,E:\\D disk\Ayush\tall perennial grass,1539,True,39
29,Thorn Apple,E:\\D disk\Ayush\Thorn Apple,1500,True,0
30,turmeric,E:\\D disk\Ayush\turmeric,1501,True,1
31,Vitex negundo,E:\\D disk\Ayush\Vitex negundo,1511,True,11
32,Wild Turmaric,E:\\D disk\Ayush\Wild Turmaric,1991,True,491
