Speciesname,Leaves,Plants,rawFruits,Flowers
AdamantCreeper,E:\\Ddisk\\Ayush\AdamantCreeper,1525,5025.15655708313,1
Alovera,E:\\Ddisk\\Ayush\Alovera,1513,5004.220005989075,1
Betel,E:\\Ddisk\\Ayush\Betel,1500,4459.977165222168,1
Black-HoneyShrub,E:\\Ddisk\\Ayush\Black-HoneyShrub,1517,4584.128089904785,1
Calotropisgigantea,E:\\Ddisk\\Ayush\Calotropisgigantea,1500,7366.99983215332,1
Caster,E:\\Ddisk\\Ayush\Caster,1497,5307.6154890060425,1
Cinnamon,E:\\Ddisk\\Ayush\Cinnamon,1500,4515.456039428711,1
ginger,E:\\Ddisk\\Ayush\ginger,1501,4607.9854736328125,1
Henna,E:\\Ddisk\\Ayush\Henna,1500,4359.0341148376465,1
Hibiscus,E:\\Ddisk\\Ayush\Hibiscus,1501,4593.2647886276245,1
HolyBasil,E:\\Ddisk\\Ayush\HolyBasil,1547,5169.869355201721,1
indian Mallow,E:\\Ddisk\\Ayush\indian Mallow,1500,5320.204720497131,1
Indianacalypha,E:\\Ddisk\\Ayush\Indianacalypha,1500,3890.6511220932007,1
ivy gourd,E:\\Ddisk\\Ayush\ivy gourd,1500,3993.7939825057983,1
Landrina,E:\\Ddisk\\Ayush\Landrina,1500,4314.191537857056,1
Lemongrass,E:\\Ddisk\\Ayush\Lemongrass,1501,5074.12806892395,1
lime,E:\\Ddisk\\Ayush\lime,1499,4570.2324113845825,1
longPepper,E:\\Ddisk\\Ayush\longPepper,1505,4582.4280071258545,1
MiracleLeaf,E:\\Ddisk\\Ayush\MiracleLeaf,1500,4969.795774459839,1
MountainKnotgrass,E:\\Ddisk\\Ayush\MountainKnotgrass,1519,4218.043326377869,1
Neem,E:\\Ddisk\\Ayush\Neem,1586,6115.509941101074,1
Oregano,E:\\Ddisk\\Ayush\Oregano,1350,3877.807557106018,1
Pedaliummurex,E:\\Ddisk\\Ayush\Pedaliummurex,1500,4344.449728012085,1
RedPeaEggplant,E:\\Ddisk\\Ayush\RedPeaEggplant,1535,4476.725631713867,1
RingwormPlant,E:\\Ddisk\\Ayush\RingwormPlant,1601,6086.289886474609,1
Seedsunderleaves,E:\\Ddisk\\Ayush\Seedsunderleaves,1501,4819.887693405151,1
SleepyPlant,E:\\Ddisk\\Ayush\SleepyPlant,1873,6604.132733345032,1
tallperennialgrass,E:\\Ddisk\\Ayush\tallperennialgrass,1539,5481.4167194366455,1
ThornApple,E:\\Ddisk\\Ayush\ThornApple,1500,5777.941466331482,1
turmeric,E:\\Ddisk\\Ayush\turmeric,1487,6399.894891738892,1
Vitexnegundo,E:\\Ddisk\\Ayush\Vitexnegundo,1511,4706.743816375732,1
WildTurmaric,E:\\Ddisk\\Ayush\WildTurmaric,1510,5418.58918762207,1
