Names,Path,Files,Volume MB,subfolders
AdamantCreeper,E:\\Ddisk\AyushVision\AdamantCreeper,1514,4981.777077674866,1
Alovera,E:\\Ddisk\AyushVision\Alovera,1513,5004.220005989075,1
Betel,E:\\Ddisk\AyushVision\Betel,1500,4459.977165222168,1
Black-HoneyShrub,E:\\Ddisk\AyushVision\Black-HoneyShrub,1517,4584.128089904785,1
Calotropisgigantea,E:\\Ddisk\AyushVision\Calotropisgigantea,1500,7366.99983215332,1
Caster,E:\\Ddisk\AyushVision\Caster,1497,5307.6154890060425,1
Cinnamon,E:\\Ddisk\AyushVision\Cinnamon,1500,4515.456039428711,1
ginger,E:\\Ddisk\AyushVision\ginger,1501,4607.9854736328125,1
Henna,E:\\Ddisk\AyushVision\Henna,1500,4359.0341148376465,1
Hibiscus,E:\\Ddisk\AyushVision\Hibiscus,1501,4593.2647886276245,1
HolyBasil,E:\\Ddisk\AyushVision\HolyBasil,1547,5169.869355201721,1
indian Mallow,E:\\Ddisk\AyushVision\indian Mallow,1500,5320.204720497131,1
Indianacalypha,E:\\Ddisk\AyushVision\Indianacalypha,1500,3890.6511220932007,1
ivy gourd,E:\\Ddisk\AyushVision\ivy gourd,1500,3993.7939825057983,1
Landrina,E:\\Ddisk\AyushVision\Landrina,1500,4314.191537857056,1
Lemongrass,E:\\Ddisk\AyushVision\Lemongrass,1501,5074.12806892395,1
lime,E:\\Ddisk\AyushVision\lime,1499,4570.2324113845825,1
longPepper,E:\\Ddisk\AyushVision\longPepper,1505,4582.4280071258545,1
MiracleLeaf,E:\\Ddisk\AyushVision\MiracleLeaf,1500,4969.795774459839,1
MountainKnotgrass,E:\\Ddisk\AyushVision\MountainKnotgrass,1519,4218.043326377869,1
Neem,E:\\Ddisk\AyushVision\Neem,1616,6436.481537818909,1
Oregano,E:\\Ddisk\AyushVision\Oregano,1500,3936.1887912750244,1
Pedaliummurex,E:\\Ddisk\AyushVision\Pedaliummurex,1500,4345.408253669739,1
RedPeaEggplant,E:\\Ddisk\AyushVision\RedPeaEggplant,1599,4903.719086647034,1
RingwormPlant,E:\\Ddisk\AyushVision\RingwormPlant,1601,6086.289886474609,1
Seedsunderleaves,E:\\Ddisk\AyushVision\Seedsunderleaves,1501,4819.887693405151,1
SleepyPlant,E:\\Ddisk\AyushVision\SleepyPlant,1873,6604.132733345032,1
tallperennialgrass,E:\\Ddisk\AyushVision\tallperennialgrass,1539,5481.4167194366455,1
ThornApple,E:\\Ddisk\AyushVision\ThornApple,1558,6312.755605697632,1
turmeric,E:\\Ddisk\AyushVision\turmeric,1494,6480.665030479431,1
Vitexnegundo,E:\\Ddisk\AyushVision\Vitexnegundo,1511,4706.743816375732,1
WildTurmaric,E:\\Ddisk\AyushVision\WildTurmaric,1510,5418.58918762207,1
