Names,VolumeKB,VolumeMB,VolumeGB
AdamantCreeper,4.756188436411321,4987225.0458984375,4870.336958885193
Alovera,4.8373036701232195,5072280.533203125,4953.398958206177
Betel,4.352908508852124,4564355.392578125,4457.378313064575
Black-HoneyShrub,4.419637957587838,4634326.291015625,4525.709268569946
Calotropisgigantea,7.194350072182715,7543822.8212890625,7367.0144739151
Caster,5.141385865397751,5391133.8251953125,5264.779126167297
Cinnamon,4.379733657464385,4592483.599609375,4484.84726524353
ginger,4.488876226358116,4706927.8779296875,4596.60925579071
Henna,4.243559488095343,4449694.6337890625,4345.404915809631
Hibiscus,4.4725329000502825,4689790.658203125,4579.873689651489
HolyBasil,4.863180802203715,5099414.6728515625,4979.897141456604
indian Mallow,5.152407267130911,5402690.6025390625,5276.065041542053
Indianacalypha,3.77849302534014,3962037.1025390625,3869.176857948303
ivy gourd,3.891446651890874,4080477.564453125,3984.841371536255
Landrina,4.199523344635963,4403519.390625,4300.311904907227
Lemongrass,4.921003661118448,5160046.3349609375,5039.1077489852905
lime,4.457465283572674,4673991.1171875,4564.444450378418
longPepper,4.438260925933719,4653853.888671875,4544.779188156128
MiracleLeaf,4.810384512878954,5044053.7509765625,4925.833741188049
MountainKnotgrass,4.102942336350679,4302246.86328125,4201.412952423096
Neem,5.780951322056353,6061766.8134765625,5919.694153785706
Oregano,3.839112263172865,4025600.98046875,3931.2509574890137
Pedaliummurex,4.240246905013919,4446221.138671875,4342.012830734253
RedPeaEggplant,4.476687100715935,4694146.6533203125,4584.127591133118
RingwormPlant,5.5589976124465466,5829031.48046875,5692.413555145264
Seedsunderleaves,4.693586173467338,4921581.8154296875,4806.232241630554
SleepyPlant,5.183112228289247,5434887.087890625,5307.5069217681885
tallperennialgrass,5.212327320128679,5465521.33203125,5337.423175811768
ThornApple,5.934523203410208,6222798.6025390625,6076.951760292053
turmeric,6.3357192520052195,6643483.150390625,6487.776514053345
Vitexnegundo,4.56066638790071,4782205.318359375,4670.122381210327
WildTurmaric,5.257078385911882,5512446.2255859375,5383.248267173767
