Speciesname,Path,Leaves,Plants,Flowers,rawFruits,Root
AdamantCreeper,D:\\AYUSHWORKING\classification\AdamantCreeper\plant,713,587,200,0,0
Alovera,D:\\AYUSHWORKING\classification\Alovera\Plants,505,995,0,0,0
Betel,D:\\AYUSHWORKING\classification\Betel\Plant,750,750,0,0,0
Black-HoneyShrub,D:\\AYUSHWORKING\classification\Black-HoneyShrub\plant,615,885,0,0,0
Calotropisgigantea,D:\\AYUSHWORKING\classification\Calotropisgigantea\plant,537,727,237,0,0
Caster,D:\\AYUSHWORKING\classification\Caster\seeds,496,615,0,390,0
Cinnamon,D:\\AYUSHWORKING\classification\Cinnamon\plant,881,620,0,0,0
ginger,D:\\AYUSHWORKING\classification\ginger\Root,537,765,0,0,199
Henna,D:\\AYUSHWORKING\classification\Henna\plant,752,749,0,0,0
Hibiscus,D:\\AYUSHWORKING\classification\Hibiscus\plant,594,606,300,0,0
HolyBasil,D:\\AYUSHWORKING\classification\HolyBasil\Plants,574,599,327,0,0
indian Mallow,D:\\AYUSHWORKING\classification\indian Mallow\plant,501,602,398,0,0
Indianacalypha,D:\\AYUSHWORKING\classification\Indianacalypha\plants,550,651,300,0,0
ivy gourd,D:\\AYUSHWORKING\classification\ivy gourd\plant,552,731,0,218,0
Landrina,D:\\AYUSHWORKING\classification\Landrina\plant,750,751,0,0,0
Lemongrass,D:\\AYUSHWORKING\classification\Lemongrass\Plant,753,748,0,0,0
lime,D:\\AYUSHWORKING\classification\lime\Plant,623,644,0,234,0
longPepper,D:\\AYUSHWORKING\classification\longPepper\plants,614,657,0,229,0
MiracleLeaf,D:\\AYUSHWORKING\classification\MiracleLeaf\Plant,763,738,0,0,0
MountainKnotgrass,D:\\AYUSHWORKING\classification\MountainKnotgrass\Plants,526,974,0,0,0
Neem,D:\\AYUSHWORKING\classification\Neem\plant,714,598,188,0,0
Oregano,D:\\AYUSHWORKING\classification\Oregano\plant,750,750,0,0,0
Pedaliummurex,D:\\AYUSHWORKING\classification\Pedaliummurex\seeds,501,599,200,201,0
RedPeaEggplant,D:\\AYUSHWORKING\classification\RedPeaEggplant\plant,508,610,191,191,0
RingwormPlant,D:\\AYUSHWORKING\classification\RingwormPlant\Plant,465,564,280,191,0
Seedsunderleaves,D:\\AYUSHWORKING\classification\Seedsunderleaves\plant,760,741,0,0,0
SleepyPlant,D:\\AYUSHWORKING\classification\SleepyPlant\Plant,459,880,161,0,0
tallperennialgrass,D:\\AYUSHWORKING\classification\tallperennialgrass\root,589,689,0,0,222
ThornApple,D:\\AYUSHWORKING\classification\ThornApple\seeds,488,617,203,192,0
turmeric,D:\\AYUSHWORKING\classification\turmeric\root,510,790,0,0,201
Vitexnegundo,D:\\AYUSHWORKING\classification\Vitexnegundo\plant,643,659,198,0,0
WildTurmaric,D:\\AYUSHWORKING\classification\WildTurmaric\plant,511,707,0,0,282
